,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Visby,0,SE,1594929614,55,57.64,18.3,63.0,4.7
1,Hermanus,0,ZA,1594929564,74,-34.42,19.23,53.01,3.0
2,Nome,75,US,1594929739,76,64.5,-165.41,57.2,4.7
3,Grand Gaube,4,MU,1594929390,78,-20.01,57.66,66.99,7.0
4,Yicheng,92,CN,1594929741,99,31.37,119.87,66.0,7.0
5,East London,0,ZA,1594929523,42,-33.02,27.91,58.68,5.39
6,Harper,98,LR,1594929527,76,4.38,-7.72,75.34,10.02
7,Myaundzha,73,RU,1594929745,86,63.05,147.19,53.8,5.14
8,Mataura,24,NZ,1594929529,98,-46.19,168.86,28.42,2.08
9,Waipawa,100,NZ,1594929747,79,-41.41,175.52,48.0,7.0
10,Butaritari,43,KI,1594929748,67,3.07,172.79,83.01,9.24
11,Kavieng,85,PG,1594929750,70,-2.57,150.8,81.95,1.97
12,Thoen,100,TH,1594929751,91,17.61,99.22,74.91,2.19
13,Zhezkazgan,0,KZ,1594929752,26,47.8,67.71,78.15,17.69
14,Poroshkovo,100,UA,1594929753,90,48.67,22.75,50.0,1.99
15,Tuktoyaktuk,75,CA,1594929754,62,69.45,-133.04,53.6,12.75
16,Demba,0,CD,1594929756,38,-5.51,22.27,74.59,2.59
17,Busselton,74,AU,1594929431,88,-33.65,115.33,52.0,9.17
18,Yambio,100,SS,1594929758,95,4.57,28.4,67.87,3.0
19,Bubaque,100,GW,1594929759,84,11.28,-15.83,79.59,17.45
20,Arkhara,93,RU,1594929614,90,49.42,130.08,67.46,5.17
21,Santa Lucía,3,ES,1594929762,73,27.91,-15.54,78.01,23.04
22,Ushuaia,0,AR,1594929650,89,-54.8,-68.3,33.8,3.36
23,Verāval,57,IN,1594929764,83,20.9,70.37,82.9,3.24
24,Brownfield,73,US,1594929765,23,33.18,-102.27,100.0,1.99
25,Cabedelo,75,BR,1594929340,88,-6.98,-34.83,75.2,6.93
26,Ambilobe,0,MG,1594929299,84,-13.2,49.05,68.34,2.44
27,Alice Springs,4,AU,1594929666,69,-23.7,133.88,33.8,3.36
28,Mahébourg,75,MU,1594929664,83,-20.41,57.7,69.8,6.93
29,Pirovskoye,34,RU,1594929771,86,57.63,92.27,56.91,8.72
30,Qaanaaq,94,GL,1594929772,77,77.48,-69.36,44.17,5.23
31,Shirokiy,90,RU,1594929773,86,49.76,129.52,67.96,4.97
32,Tokur,88,RU,1594929067,97,53.13,132.9,61.45,1.72
33,Bathsheba,40,BB,1594929776,62,13.22,-59.52,87.8,16.11
34,Mthatha,0,ZA,1594929777,52,-31.59,28.78,44.6,1.12
35,Nikolskoye,75,RU,1594929311,67,59.7,30.79,60.8,8.95
36,Evensk,100,RU,1594929328,95,61.95,159.23,51.55,6.55
37,Punta Arenas,75,CL,1594929532,74,-53.15,-70.92,33.8,5.82
